adauga_autor,2024-05-29 00:36:55
vizualizeaza_autori,2024-05-29 00:37:04
adauga_categorie,2024-05-29 00:37:18
adauga_autor,2024-05-29 01:39:09
vizualizeaza_autori,2024-05-29 01:39:16
modifica_autor,2024-05-29 01:39:41
vizualizeaza_autori,2024-05-29 01:39:43
sterge_autor,2024-05-29 01:40:00
vizualizeaza_autori,2024-05-29 01:40:02
adauga_categorie,2024-05-29 01:40:29
vizualizeaza_categorii,2024-05-29 01:40:31
modifica_categorie,2024-05-29 01:40:50
vizualizeaza_categorii,2024-05-29 01:40:52
sterge_categorie,2024-05-29 01:41:01
vizualizeaza_categorii,2024-05-29 01:41:03
adauga_carte,2024-05-29 01:42:09
afiseaza_carte,2024-05-29 01:42:24
afiseaza_carte,2024-05-29 01:42:35
vizualizeaza_carti,2024-05-29 01:42:49
vizualizeaza_carti_sortate,2024-05-29 01:42:55
vizualizeaza_carti,2024-05-29 01:43:06
vizualizeaza_carti,2024-05-29 02:26:55
vizualizeaza_carti,2024-05-29 13:05:12
adauga_autor,2024-05-29 15:46:15
vizualizeaza_autori,2024-05-29 15:46:18
sterge_autor,2024-05-29 15:46:37
vizualizeaza_autori,2024-05-29 15:46:40
vizualizeaza_carti,2024-05-29 15:47:12
sterge_autor,2024-05-29 15:47:31
vizualizeaza_carti,2024-05-29 15:47:38
